car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
Q75M,BLK 10A HOLLAND DRIVE,23590.6968,32292.0387,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
Q77M,BLK 18 HOLLAND DRIVE,23403.3645,32654.8683,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N
Q8,BLK 19/23A/23B QUEENS CLOSE,24244.0036,30732.3137,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
Q80,BLK 45/46/47 HOLLAND DRIVE,23479.7213,32316.8703,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
Q81,BLK 43 HOLLAND DRIVE,23531.2041,32206.3235,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
Q84,BLK 2/4/6/31/32 HOLLAND CLOSE,23921.707,32122.75,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
Q85,NORTH BUONA VISTA ROAD,23406.71,32283.49,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q86,BLK 148A MEI LING STREET,24722.8381,30771.7904,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.8,N
Q87,BLK 5A HOLLAND CLOSE,23873.3239,32354.7312,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N
Q88,BLK 19A QUEEN'S CLOSE,24354.2159,30597.8694,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N
Q89,BLK 7B COMMONWEALTH AVENUE,23741.0378,32063.6114,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N
Q92,BLK 82 STRATHMORE AVENUE,25236.2422,30797.7383,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N
Q93,BLK 83 STRATHMORE AVENUE,25189.3828,30813.4336,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N
Q94,BLK 102 COMMONWEALTH CRESCENT,24354.3978,32217.4868,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N
Q95,BLK 98 COMMONWEALTH CRESCENT,24433.0873,32115.9271,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
Q96,BLK 181-184 STIRLING ROAD,24782.1998,30858.4456,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
Q97,BLK 64 COMMONWEALTH DRIVE,24000.9896,31284.4381,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
Q98,BLK 55 COMMONWEALTH DRIVE,23989.771,31078.5446,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,4.5,N
Q99,BLK 89 COMMONWEALTH DRIVE,24191.1767,31958.4905,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,4.5,N
RHM,BLK 88A REDHILL CLOSE,26359.4531,29876.1692,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
RHM2,BLK 70A REDHILL CLOSE,26173.5652,29936.3581,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
RHM3,BLK 73 REDHILL ROAD,26214.2901,30036.7081,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,17,2.15,N
RHM4,BLK 74 REDHILL ROAD,26052.2467,30044.7806,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
RHS,BLK 75A/B REDHILL ROAD,26029.8967,30077.9357,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
SAM,BLK 60A STRATHMORE AVENUE,25613.7877,30550.6392,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SAM2,BLK 61 STRATHMORE AVENUE,25513.9562,30707.2765,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N
SMM,BLK 53A STRATHMORE AVENUE,25135.7671,30634.5571,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
SMML,BLK 50/51 STRATHMORE AVENUE,25259.6207,30666.3245,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N
STAM,BLK 56A STRATHMORE AVENUE,25398.1488,30582.3365,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
STM1,BLK 169A STIRLING ROAD,24647.2485,30296.4074,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.0,N
STM2,BLK 171A STIRLING ROAD,24703.9688,30248.287,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
STM3,BLK 168-171 STIRLING ROAD,24662.1367,30248.061,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
TBCM,BLK 16A TELOK BLANGAH CRESCENT,26642.874,28889.9336,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBC2,BLK 23A TELOK BLANGAH CRESCENT,26594.4985,28690.7096,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,2.15,N
TBC3,BLK 3A TELOK BLANGAH CRESCENT,26248.2192,29055.7391,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
TBK,BLK 84 TELOK BLANGAH HEIGHTS,25410.0758,28869.5953,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
TBL,BLK 90B TELOK BLANGAH STREET 31,25044.3866,28772.2926,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,9.99,N
TBM,BLK 48A TELOK BLANGAH DRIVE,25479.2441,28253.7507,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.8,N
TBMT,BLK 80 TELOK BLANGAH STREET 31,25059.9661,28475.4537,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,5,2.15,N
TBM2,BLK 73A TELOK BLANGAH STREET 32,25318.3879,28642.2103,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
TBM3,BLK 78A TELOK BLANGAH STREET 32,25290.5101,28428.7979,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
TBM4,BLK 88A TELOK BLANGAH HEIGHTS,25156.3228,28862.5317,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBM5,BLK 57A TELOK BLANGAH HEIGHTS,25599.7585,28608.3876,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBM6,BLK 52A TELOK BLANGAH DRIVE,25528.5116,28424.2252,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBM7,BLK 70 TELOK BLANGAH HEIGHTS,25497.8422,28748.5546,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
TBM8,BLK 90 TELOK BLANGAH STREET 31,25102.2101,28852.5891,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N
TBM9,BLK 93 TELOK BLANGAH STREET 31,25092.2521,28584.6862,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N
TB1,BLK 1/2/3/4/6 TELOK BLANGAH CRESCENT,26359.0527,28989.3284,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N
TB14,BLK 113/114 DEPOT ROAD,25109.3906,29363.2539,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
TB17,BLK 50/71 TELOK BLANGAH DRIVE,25740.9065,28588.0794,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
TB18,BLK 72/74/84 TELOK BLANGAH DRIVE,25383.8683,28775.7738,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
TB19,BLK 75/76 TELOK BLANGAH DRIVE,25261.3047,28571.479,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
TB2,BLK 8-10 TELOK BLANGAH CRESCENT,26444.6627,28896.6707,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N
TB22,BLK 79/80/81 TELOK BLANGAH DRIVE,25135.612,28488.1817,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N
TB23,DEPOT ROAD LORRY PARK,25985.6543,29309.834,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N
TB27,BLK 4001-4008 DEPOT LANE,25595.8755,29374.1443,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
TB28,BLK 45 TELOK BLANGAH DRIVE,25306.0,28279.5996,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N
TB29,BLK 45 & 79 ALONG TELOK BLANGAH DRIVE,25069.197,28402.4038,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N
TB3,BLK 12/22 TELOK BLANGAH CRESCENT,26458.5039,28811.9141,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N
TB7,BLK 29/32 TELOK BLANGAH RISE,26673.4648,28437.3189,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N
TB8,BLK 30/31 TELOK BLANGAH RISE,26601.755,28348.037,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N
THM,BLK 37B COMMONWEALTH DRIVE,24057.579,31174.2517,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
